url_PI,name,set,url_CM
https://en.play-in.com/rachat/magic/result.php?i=6112,Firestorm,Weatherlight,https://www.cardmarket.com/en/Magic/Products/Singles/Weatherlight/Firestorm
https://en.play-in.com/rachat/magic/result.php?i=4714,Norwood-Priestess,Portal-Second-Age,https://www.cardmarket.com/en/Magic/Products/Singles/Portal-Second-Age/Norwood-Priestess
https://en.play-in.com/rachat/magic/result.php?i=2035,Karn-Silver-Golem,Arena-League-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Arena-League-Promos/Karn-Silver-Golem
https://en.play-in.com/rachat/magic/result.php?i=2035,Karn-Silver-Golem,From-the-Vault-Relics,https://www.cardmarket.com/en/Magic/Products/Singles/From-the-Vault-Relics/Karn-Silver-Golem
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Aether-Revolt,https://www.cardmarket.com/en/Magic/Products/Singles/Aether-Revolt/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Aether-Revolt-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Aether-Revolt-Promos/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Core-Set-2021,https://www.cardmarket.com/en/Magic/Products/Singles/Core-Set-2021/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Core-Set-2021-Extras,https://www.cardmarket.com/en/Magic/Products/Singles/Core-Set-2021-Extras/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Core-2021-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Core-2021-Promos/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=21380,Heroic-Intervention,Commander-D&D-Adventures-in-the-Forgotten-Realms,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-D&D-Adventures-in-the-Forgotten-Realms/Heroic-Intervention
https://en.play-in.com/rachat/magic/result.php?i=20674,Expropriate,Conspiracy-Take-the-Crown,https://www.cardmarket.com/en/Magic/Products/Singles/Conspiracy-Take-the-Crown/Expropriate
https://en.play-in.com/rachat/magic/result.php?i=20674,Expropriate,Mystery-Booster,https://www.cardmarket.com/en/Magic/Products/Singles/Mystery-Booster/Expropriate
https://en.play-in.com/rachat/magic/result.php?i=21362,Walking-Ballista,Aether-Revolt,https://www.cardmarket.com/en/Magic/Products/Singles/Aether-Revolt/Walking-Ballista
https://en.play-in.com/rachat/magic/result.php?i=21362,Walking-Ballista,Aether-Revolt-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Aether-Revolt-Promos/Walking-Ballista
https://en.play-in.com/rachat/magic/result.php?i=21362,Walking-Ballista,Secret-Lair-Drop-Series,https://www.cardmarket.com/en/Magic/Products/Singles/Secret-Lair-Drop-Series/Walking-Ballista
https://en.play-in.com/rachat/magic/result.php?i=21362,Walking-Ballista,Double-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Double-Masters/Walking-Ballista
https://en.play-in.com/rachat/magic/result.php?i=21362,Walking-Ballista,Jumpstart-2022,https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart-2022/Walking-Ballista
https://en.play-in.com/rachat/magic/result.php?i=5058,Ruination,Stronghold,https://www.cardmarket.com/en/Magic/Products/Singles/Stronghold/Ruination
https://en.play-in.com/rachat/magic/result.php?i=5058,Ruination,Commander,https://www.cardmarket.com/en/Magic/Products/Singles/Commander/Ruination
https://en.play-in.com/rachat/magic/result.php?i=9209,Worldly-Tutor,Sixth-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Sixth-Edition/Worldly-Tutor
https://en.play-in.com/rachat/magic/result.php?i=9209,Worldly-Tutor,Mirage,https://www.cardmarket.com/en/Magic/Products/Singles/Mirage/Worldly-Tutor
https://en.play-in.com/rachat/magic/result.php?i=9209,Worldly-Tutor,Commander-Collection--Green,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Collection--Green/Worldly-Tutor
https://en.play-in.com/rachat/magic/result.php?i=9171,Wooded-Foothills,Onslaught,https://www.cardmarket.com/en/Magic/Products/Singles/Onslaught/Wooded-Foothills
https://en.play-in.com/rachat/magic/result.php?i=9171,Wooded-Foothills,Judge-Rewards-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Judge-Rewards-Promos/Wooded-Foothills
https://en.play-in.com/rachat/magic/result.php?i=9171,Wooded-Foothills,Khans-of-Tarkir,https://www.cardmarket.com/en/Magic/Products/Singles/Khans-of-Tarkir/Wooded-Foothills
